Building,Time,Weekday,Student_Count_Building
Academ,10:15,Monday,164
Alfier,10:15,Monday,123
Alumni,10:15,Monday,170
Baird,10:15,Monday,162
Baldy,10:15,Monday,415
Bell,10:15,Monday,98
CFA,10:15,Monday,90
Capen,10:15,Monday,178
Cfa,10:15,Monday,253
Clemen,10:15,Monday,478
Cooke,10:15,Monday,157
Davis,10:15,Monday,120
Frnczk,10:15,Monday,80
Furnas,10:15,Monday,41
Grein,10:15,Monday,32
Hoch,10:15,Monday,149
Jacobs,10:15,Monday,213
Knox,10:15,Monday,746
Math,10:15,Monday,38
Norton,10:15,Monday,230
Nsc,10:15,Monday,1149
Obrian,10:15,Monday,333
Park,10:15,Monday,164
Talbrt,10:15,Monday,257
Academ,10:15,Thursday,365
Alfier,10:15,Thursday,139
Alumni,10:15,Thursday,81
Baird,10:15,Thursday,35
Baldy,10:15,Thursday,320
Bell,10:15,Thursday,67
Bonner,10:15,Thursday,8
CFA,10:15,Thursday,118
Capen,10:15,Thursday,175
Cfa,10:15,Thursday,135
Clemen,10:15,Thursday,507
Cooke,10:15,Thursday,326
Davis,10:15,Thursday,97
Frnczk,10:15,Thursday,164
Furnas,10:15,Thursday,52
Grein,10:15,Thursday,1
Hoch,10:15,Thursday,145
Jacobs,10:15,Thursday,197
Knox,10:15,Thursday,685
Math,10:15,Thursday,97
Norton,10:15,Thursday,299
Nsc,10:15,Thursday,1084
Obrian,10:15,Thursday,466
Park,10:15,Thursday,190
Talbrt,10:15,Thursday,197
Ubcmns,10:15,Thursday,23
Wilkeson,10:15,Thursday,28
Academ,10:15,Tuesday,389
Alfier,10:15,Tuesday,139
Alumni,10:15,Tuesday,81
Arr,10:15,Tuesday,2
Baird,10:15,Tuesday,35
Baldy,10:15,Tuesday,320
Bell,10:15,Tuesday,79
Bonner,10:15,Tuesday,8
CFA,10:15,Tuesday,117
Capen,10:15,Tuesday,224
Cfa,10:15,Tuesday,66
Clemen,10:15,Tuesday,427
Cooke,10:15,Tuesday,326
Davis,10:15,Tuesday,97
Frnczk,10:15,Tuesday,182
Furnas,10:15,Tuesday,66
Grein,10:15,Tuesday,1
Hoch,10:15,Tuesday,175
Jacobs,10:15,Tuesday,161
Knox,10:15,Tuesday,685
Math,10:15,Tuesday,97
Norton,10:15,Tuesday,299
Nsc,10:15,Tuesday,1134
Obrian,10:15,Tuesday,494
Park,10:15,Tuesday,155
Talbrt,10:15,Tuesday,197
Ubcmns,10:15,Tuesday,23
Wilkeson,10:15,Tuesday,28
Academ,10:15,Wednesday,123
Alfier,10:15,Wednesday,123
Alumni,10:15,Wednesday,172
Baird,10:15,Wednesday,162
Baldy,10:15,Wednesday,371
Bell,10:15,Wednesday,98
Bonner,10:15,Wednesday,8
CFA,10:15,Wednesday,90
Capen,10:15,Wednesday,166
Cfa,10:15,Wednesday,142
Clemen,10:15,Wednesday,446
Cooke,10:15,Wednesday,201
Davis,10:15,Wednesday,120
Frnczk,10:15,Wednesday,117
Furnas,10:15,Wednesday,28
Hoch,10:15,Wednesday,149
Jacobs,10:15,Wednesday,235
Jarvis,10:15,Wednesday,5
Ketter,10:15,Wednesday,13
Knox,10:15,Wednesday,750
Math,10:15,Wednesday,39
Norton,10:15,Wednesday,230
Nsc,10:15,Wednesday,1239
Obrian,10:15,Wednesday,375
Park,10:15,Wednesday,195
Talbrt,10:15,Wednesday,279
Wilkeson,10:15,Wednesday,11
Academ,10:30,Friday,68
Alfier,10:30,Friday,25
Alumni,10:30,Friday,108
Arr,10:30,Friday,5
Baird,10:30,Friday,141
Baldy,10:30,Friday,343
Bell,10:30,Friday,80
Bonner,10:30,Friday,11
Capen,10:30,Friday,139
Cfa,10:30,Friday,9
Clemen,10:30,Friday,404
Cooke,10:30,Friday,103
Davis,10:30,Friday,120
Frnczk,10:30,Friday,151
Furnas,10:30,Friday,69
Hoch,10:30,Friday,149
Jacobs,10:30,Friday,236
Knox,10:30,Friday,753
Math,10:30,Friday,37
Norton,10:30,Friday,232
Nsc,10:30,Friday,1149
Obrian,10:30,Friday,317
Park,10:30,Friday,154
Talbrt,10:30,Friday,235
Academ,10:30,Monday,179
Alfier,10:30,Monday,123
Alumni,10:30,Monday,181
Baird,10:30,Monday,162
Baldy,10:30,Monday,428
Bell,10:30,Monday,98
CFA,10:30,Monday,90
Capen,10:30,Monday,146
Cfa,10:30,Monday,311
Clemen,10:30,Monday,474
Cooke,10:30,Monday,123
Davis,10:30,Monday,120
Frnczk,10:30,Monday,80
Furnas,10:30,Monday,41
Grein,10:30,Monday,32
Hoch,10:30,Monday,149
Jacobs,10:30,Monday,213
Knox,10:30,Monday,746
Math,10:30,Monday,38
Norton,10:30,Monday,230
Nsc,10:30,Monday,1149
Obrian,10:30,Monday,178
Park,10:30,Monday,177
Talbrt,10:30,Monday,223
Academ,10:30,Thursday,384
Alfier,10:30,Thursday,139
Alumni,10:30,Thursday,122
Baird,10:30,Thursday,63
Baldy,10:30,Thursday,320
Bell,10:30,Thursday,67
Bonner,10:30,Thursday,8
CFA,10:30,Thursday,118
Capen,10:30,Thursday,184
Cfa,10:30,Thursday,167
Clemen,10:30,Thursday,507
Cooke,10:30,Thursday,326
Davis,10:30,Thursday,97
Frnczk,10:30,Thursday,164
Furnas,10:30,Thursday,52
Grein,10:30,Thursday,1
Hoch,10:30,Thursday,145
Jacobs,10:30,Thursday,197
Knox,10:30,Thursday,685
Math,10:30,Thursday,97
Norton,10:30,Thursday,299
Nsc,10:30,Thursday,1084
Obrian,10:30,Thursday,235
Park,10:30,Thursday,190
Slee,10:30,Thursday,80
Talbrt,10:30,Thursday,197
